Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
98.9,1455956178,2,727978089.0,727978089.0,288960502,1166995676,620864625.7,cudaDeviceSynchronize
0.7,10578764,75,141050.2,4192.0,2746,10174122,1174194.7,cudaLaunchKernel
0.2,2943773,3,981257.7,374959.0,310420,2258394,1106503.2,cudaMalloc
0.2,2883152,3,961050.7,663531.0,645106,1574515,531355.6,cudaMemcpyAsync
0.0,232632,6,38772.0,3486.5,1605,214142,85951.8,cudaStreamIsCapturing_v10000
0.0,172096,3,57365.3,56405.0,45431,70260,12442.3,cudaStreamSynchronize
0.0,844,1,844.0,844.0,844,844,0.0,cuModuleGetLoadingMode
