Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.9,515209863,2,257604931.5,257604931.5,100927241,414282622,221575714.8,cudaDeviceSynchronize
1.9,10037598,75,133834.6,5132.0,2315,9531202,1099800.3,cudaLaunchKernel
0.6,3338954,3,1112984.7,383725.0,383321,2571908,1263464.7,cudaMalloc
0.5,2800212,3,933404.0,942276.0,643217,1214719,285854.3,cudaMemcpyAsync
0.0,173736,6,28956.0,2893.5,1237,154556,61635.1,cudaStreamIsCapturing_v10000
0.0,168470,3,56156.7,53714.0,46812,67944,10775.7,cudaStreamSynchronize
0.0,734,1,734.0,734.0,734,734,0.0,cuModuleGetLoadingMode
